filepath,label,speaker_id,system_id,attack_type,subset,duration_s,key
datasets/processed/benchmark_audio/LA_0005_000_bonafide.wav,0,LA_0005,-,bonafide,benchmark,4.0,bonafide
datasets/processed/benchmark_audio/LA_0005_001_spoof.wav,1,LA_0005,A02,Neural TTS (Tacotron2 + WaveRNN),benchmark,4.0,spoof
datasets/processed/benchmark_audio/LA_0005_002_bonafide.wav,0,LA_0005,-,bonafide,benchmark,4.0,bonafide
datasets/processed/benchmark_audio/LA_0005_003_spoof.wav,1,LA_0005,A04,Traditional TTS (Unit Selection),benchmark,4.0,spoof
datasets/processed/benchmark_audio/LA_0005_004_bonafide.wav,0,LA_0005,-,bonafide,benchmark,4.0,bonafide
datasets/processed/benchmark_audio/LA_0005_005_spoof.wav,1,LA_0005,A06,Voice Conversion (Spectral Transfer),benchmark,4.0,spoof
datasets/processed/benchmark_audio/LA_0005_006_bonafide.wav,0,LA_0005,-,bonafide,benchmark,4.0,bonafide
datasets/processed/benchmark_audio/LA_0005_007_spoof.wav,1,LA_0005,A02,Neural TTS (Tacotron2 + WaveRNN),benchmark,4.0,spoof
datasets/processed/benchmark_audio/LA_0005_008_bonafide.wav,0,LA_0005,-,bonafide,benchmark,4.0,bonafide
datasets/processed/benchmark_audio/LA_0005_009_spoof.wav,1,LA_0005,A04,Traditional TTS (Unit Selection),benchmark,4.0,spoof
datasets/processed/benchmark_audio/LA_0004_000_bonafide.wav,0,LA_0004,-,bonafide,benchmark,4.0,bonafide
datasets/processed/benchmark_audio/LA_0004_001_spoof.wav,1,LA_0004,A02,Neural TTS (Tacotron2 + WaveRNN),benchmark,4.0,spoof
datasets/processed/benchmark_audio/LA_0004_002_bonafide.wav,0,LA_0004,-,bonafide,benchmark,4.0,bonafide
datasets/processed/benchmark_audio/LA_0004_003_spoof.wav,1,LA_0004,A04,Traditional TTS (Unit Selection),benchmark,4.0,spoof
datasets/processed/benchmark_audio/LA_0004_004_bonafide.wav,0,LA_0004,-,bonafide,benchmark,4.0,bonafide
datasets/processed/benchmark_audio/LA_0004_005_spoof.wav,1,LA_0004,A06,Voice Conversion (Spectral Transfer),benchmark,4.0,spoof
datasets/processed/benchmark_audio/LA_0004_006_bonafide.wav,0,LA_0004,-,bonafide,benchmark,4.0,bonafide
datasets/processed/benchmark_audio/LA_0004_007_spoof.wav,1,LA_0004,A02,Neural TTS (Tacotron2 + WaveRNN),benchmark,4.0,spoof
datasets/processed/benchmark_audio/LA_0004_008_bonafide.wav,0,LA_0004,-,bonafide,benchmark,4.0,bonafide
datasets/processed/benchmark_audio/LA_0004_009_spoof.wav,1,LA_0004,A04,Traditional TTS (Unit Selection),benchmark,4.0,spoof
datasets/processed/benchmark_audio/LA_0009_000_bonafide.wav,0,LA_0009,-,bonafide,benchmark,4.0,bonafide
datasets/processed/benchmark_audio/LA_0009_001_spoof.wav,1,LA_0009,A02,Neural TTS (Tacotron2 + WaveRNN),benchmark,4.0,spoof
datasets/processed/benchmark_audio/LA_0009_002_bonafide.wav,0,LA_0009,-,bonafide,benchmark,4.0,bonafide
datasets/processed/benchmark_audio/LA_0009_003_spoof.wav,1,LA_0009,A04,Traditional TTS (Unit Selection),benchmark,4.0,spoof
datasets/processed/benchmark_audio/LA_0009_004_bonafide.wav,0,LA_0009,-,bonafide,benchmark,4.0,bonafide
datasets/processed/benchmark_audio/LA_0009_005_spoof.wav,1,LA_0009,A06,Voice Conversion (Spectral Transfer),benchmark,4.0,spoof
datasets/processed/benchmark_audio/LA_0009_006_bonafide.wav,0,LA_0009,-,bonafide,benchmark,4.0,bonafide
datasets/processed/benchmark_audio/LA_0009_007_spoof.wav,1,LA_0009,A02,Neural TTS (Tacotron2 + WaveRNN),benchmark,4.0,spoof
datasets/processed/benchmark_audio/LA_0009_008_bonafide.wav,0,LA_0009,-,bonafide,benchmark,4.0,bonafide
