filepath,label
C:\Users\Dell\Desktop\VeriVox\datasets\processed\dummy_audio\train_000_bonafide.wav,0
C:\Users\Dell\Desktop\VeriVox\datasets\processed\dummy_audio\train_001_spoof.wav,1
C:\Users\Dell\Desktop\VeriVox\datasets\processed\dummy_audio\train_002_bonafide.wav,0
C:\Users\Dell\Desktop\VeriVox\datasets\processed\dummy_audio\train_003_spoof.wav,1
C:\Users\Dell\Desktop\VeriVox\datasets\processed\dummy_audio\train_004_bonafide.wav,0
C:\Users\Dell\Desktop\VeriVox\datasets\processed\dummy_audio\train_005_spoof.wav,1
C:\Users\Dell\Desktop\VeriVox\datasets\processed\dummy_audio\train_006_bonafide.wav,0
C:\Users\Dell\Desktop\VeriVox\datasets\processed\dummy_audio\train_007_spoof.wav,1
C:\Users\Dell\Desktop\VeriVox\datasets\processed\dummy_audio\train_008_bonafide.wav,0
C:\Users\Dell\Desktop\VeriVox\datasets\processed\dummy_audio\train_009_spoof.wav,1
C:\Users\Dell\Desktop\VeriVox\datasets\processed\dummy_audio\train_010_bonafide.wav,0
C:\Users\Dell\Desktop\VeriVox\datasets\processed\dummy_audio\train_011_spoof.wav,1
C:\Users\Dell\Desktop\VeriVox\datasets\processed\dummy_audio\train_012_bonafide.wav,0
C:\Users\Dell\Desktop\VeriVox\datasets\processed\dummy_audio\train_013_spoof.wav,1
C:\Users\Dell\Desktop\VeriVox\datasets\processed\dummy_audio\train_014_bonafide.wav,0
C:\Users\Dell\Desktop\VeriVox\datasets\processed\dummy_audio\train_015_spoof.wav,1
C:\Users\Dell\Desktop\VeriVox\datasets\processed\dummy_audio\train_016_bonafide.wav,0
C:\Users\Dell\Desktop\VeriVox\datasets\processed\dummy_audio\train_017_spoof.wav,1
C:\Users\Dell\Desktop\VeriVox\datasets\processed\dummy_audio\train_018_bonafide.wav,0
C:\Users\Dell\Desktop\VeriVox\datasets\processed\dummy_audio\train_019_spoof.wav,1
